Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
15;Møre og Romsdal;;;;;A;Arbeiderpartiet;21,33394;190915;11016;20337;31353;-3,82326;-2,95213;2;0;
15;Møre og Romsdal;;;;;SV;Sosialistisk Venstreparti;3,90915;190915;2151;3594;5745;1,44423;1,19857;0;0;
15;Møre og Romsdal;;;;;RØDT;Rødt;1,23092;190915;795;1014;1809;0,78288;0,73662;0;0;
15;Møre og Romsdal;;;;;SP;Senterpartiet;12,95972;190915;5635;13411;19046;4,76033;2,32425;1;0;
15;Møre og Romsdal;;;;;KRF;Kristelig Folkeparti;6,13556;190915;3028;5989;9017;-2,78754;-2,11666;1;1;
15;Møre og Romsdal;;;;;MDG;Miljøpartiet De Grønne;2,15496;190915;1449;1718;3167;0,78502;-0,53569;0;0;
15;Møre og Romsdal;;;;;V;Venstre;3,4621;190915;1589;3499;5088;-2,09652;-2,14026;0;0;
15;Møre og Romsdal;;;;;H;Høyre;23,61683;190915;11674;23034;34708;-2,61929;5,58017;3;0;
15;Møre og Romsdal;;;;;FRP;Fremskrittspartiet;22,28452;190915;12178;20572;32750;2,22325;9,18989;2;0;
15;Møre og Romsdal;;;;;ALLI;Alliansen;0,12316;190915;64;117;181;0,12316;0,12316;0;0;
15;Møre og Romsdal;;;;;DEMN;Demokratene i Norge;0,08778;190915;62;67;129;0,02218;-0,00805;0;0;
15;Møre og Romsdal;;;;;KRISTNE;Partiet De Kristne;0,50421;190915;311;430;741;-0,56634;-0,51759;0;0;
15;Møre og Romsdal;;;;;KYST;Kystpartiet;0,08233;190915;59;62;121;-0,02863;0,08233;0;0;
15;Møre og Romsdal;;;;;LIBS;Liberalistene;0,11908;190915;79;96;175;0,11908;0,11908;0;0;
15;Møre og Romsdal;;;;;PP;Pensjonistpartiet;0,54299;190915;380;418;798;0,54299;-0,12303;0;0;
15;Møre og Romsdal;;;;;BLANKE;Blanke;0,56273;190915;266;561;827;0,15028;-0,67254;0;0;
15;Møre og Romsdal;;;;;NML;Nordmørslista;1,45275;190915;711;1424;2135;1,45275;-6,15622;0;0;
16;Sør-Trøndelag;;;;;A;Arbeiderpartiet;32,7895;231984;24257;35353;59610;-3,90575;-7,83986;4;0;
16;Sør-Trøndelag;;;;;SV;Sosialistisk Venstreparti;7,70534;231984;5866;8142;14008;2,00754;2,47867;1;0;
16;Sør-Trøndelag;;;;;RØDT;Rødt;2,93956;231984;2484;2860;5344;1,98898;1,04502;0;0;
16;Sør-Trøndelag;;;;;SP;Senterpartiet;10,67625;231984;6333;13076;19409;4,2035;2,31478;1;0;
16;Sør-Trøndelag;;;;;KRF;Kristelig Folkeparti;2,73603;231984;1956;3018;4974;-1,00585;-0,98401;0;0;
16;Sør-Trøndelag;;;;;MDG;Miljøpartiet De Grønne;3,89558;231984;3455;3627;7082;0,73647;-2,13468;0;0;
16;Sør-Trøndelag;;;;;V;Venstre;4,06225;231984;2848;4537;7385;-1,33219;-0,56793;1;1;
16;Sør-Trøndelag;;;;;H;Høyre;20,74798;231984;14897;22822;37719;-1,4513;1,44622;2;0;
16;Sør-Trøndelag;;;;;FRP;Fremskrittspartiet;11,68783;231984;8361;12887;21248;-1,92428;5,07983;1;0;
16;Sør-Trøndelag;;;;;ALLI;Alliansen;0,14522;231984;105;159;264;0,14522;0,14522;0;0;
16;Sør-Trøndelag;;;;;DEMN;Demokratene i Norge;0,09241;231984;79;89;168;-0,02734;-0,06816;0;0;
16;Sør-Trøndelag;;;;;HELSE;Helsepartiet;0,22278;231984;191;214;405;0,22278;0,22278;0;0;
16;Sør-Trøndelag;;;;;KRISTNE;Partiet De Kristne;0,12377;231984;92;133;225;-0,1739;-0,12459;0;0;
16;Sør-Trøndelag;;;;;KYST;Kystpartiet;0,07866;231984;45;98;143;-0,0006;0,07866;0;0;
16;Sør-Trøndelag;;;;;LIBS;Liberalistene;0,20242;231984;155;213;368;0,20242;0,20242;0;0;
16;Sør-Trøndelag;;;;;PIR;Piratpartiet;0,19857;231984;150;211;361;-0,29012;-0,30789;0;0;
16;Sør-Trøndelag;;;;;PP;Pensjonistpartiet;1,69586;231984;1675;1408;3083;0,78918;-0,98651;0;0;
16;Sør-Trøndelag;;;;;BLANKE;Blanke;0,64413;231984;418;753;1171;0,20106;-0,7417;0;0;
17;Nord-Trøndelag;;;;;A;Arbeiderpartiet;34,20388;102040;9860;16962;26822;-7,69677;-5,39117;2;0;
17;Nord-Trøndelag;;;;;SV;Sosialistisk Venstreparti;5,03838;102040;1453;2498;3951;1,64492;-0,2716;0;0;
17;Nord-Trøndelag;;;;;RØDT;Rødt;1,63483;102040;538;744;1282;1,08189;0,61636;0;0;
17;Nord-Trøndelag;;;;;SP;Senterpartiet;24,42679;102040;5791;13364;19155;7,69999;-2,36859;1;0;
17;Nord-Trøndelag;;;;;KRF;Kristelig Folkeparti;2,69708;102040;772;1343;2115;-0,84148;-1,09128;0;0;
17;Nord-Trøndelag;;;;;MDG;Miljøpartiet De Grønne;1,76745;102040;653;733;1386;0,3936;-1,21832;0;0;
17;Nord-Trøndelag;;;;;V;Venstre;2,24183;102040;636;1122;1758;-1,88627;-1,73456;1;1;
17;Nord-Trøndelag;;;;;H;Høyre;14,75172;102040;4144;7424;11568;0,20531;4,54262;1;0;
17;Nord-Trøndelag;;;;;FRP;Fremskrittspartiet;11,49481;102040;3321;5693;9014;-1,40584;5,57723;0;0;
17;Nord-Trøndelag;;;;;ALLI;Alliansen;0,11604;102040;40;51;91;0,11604;0,11604;0;0;
17;Nord-Trøndelag;;;;;DEMN;Demokratene i Norge;0,12497;102040;47;51;98;0,0753;0,0031;0;0;
17;Nord-Trøndelag;;;;;HELSE;Helsepartiet;0,37619;102040;111;184;295;0,37619;0,37619;0;0;
17;Nord-Trøndelag;;;;;KRISTNE;Partiet De Kristne;0,21551;102040;75;94;169;-0,15442;-0,06653;0;0;
17;Nord-Trøndelag;;;;;KYST;Kystpartiet;0,07779;102040;25;36;61;-0,02809;0,07779;0;0;
17;Nord-Trøndelag;;;;;LIBS;Liberalistene;0,09947;102040;27;51;78;0,09947;0,09947;0;0;
17;Nord-Trøndelag;;;;;PIR;Piratpartiet;0,14282;102040;49;63;112;-0,13038;0,14282;0;0;
17;Nord-Trøndelag;;;;;PP;Pensjonistpartiet;0,59043;102040;254;209;463;0,59043;0,59043;0;0;
17;Nord-Trøndelag;;;;;BLANKE;Blanke;0,58788;102040;141;320;461;0,13951;-0,95463;0;0;
18;Nordland;;;;;A;Arbeiderpartiet;26,03351;181329;13554;21642;35196;-9,03619;-9,95991;2;0;
18;Nordland;;;;;SV;Sosialistisk Venstreparti;7,00248;181329;3294;6173;9467;1,82039;1,65132;1;1;
18;Nordland;;;;;RØDT;Rødt;2,88842;181329;1625;2280;3905;1,26484;-2,26561;0;0;
18;Nordland;;;;;SP;Senterpartiet;18,64492;181329;8539;16668;25207;11,71471;8,76075;2;0;
18;Nordland;;;;;KRF;Kristelig Folkeparti;2,42908;181329;1182;2102;3284;-1,23672;-0,86496;0;0;
18;Nordland;;;;;MDG;Miljøpartiet De Grønne;2,16872;181329;1342;1590;2932;0,17826;-1,06404;0;0;
18;Nordland;;;;;V;Venstre;2,59551;181329;1271;2238;3509;-1,10931;-1,03866;0;0;
18;Nordland;;;;;H;Høyre;20,17308;181329;9969;17304;27273;-1,0377;0,47215;2;0;
18;Nordland;;;;;FRP;Fremskrittspartiet;16,45623;181329;8369;13879;22248;-2,31543;5,7345;2;0;
18;Nordland;;;;;ALLI;Alliansen;0,09394;181329;57;70;127;0,09394;0,09394;0;0;
18;Nordland;;;;;DEMN;Demokratene i Norge;0,13758;181329;69;117;186;0,09256;0,13758;0;0;
18;Nordland;;;;;HELSE;Helsepartiet;0,4549;181329;252;363;615;0,4549;0,4549;0;0;
18;Nordland;;;;;KRISTNE;Partiet De Kristne;0,21303;181329;141;147;288;-0,31066;-0,16285;0;0;
18;Nordland;;;;;KYST;Kystpartiet;0,31066;181329;131;289;420;-0,00745;-0,69032;0;0;
18;Nordland;;;;;LIBS;Liberalistene;0,19897;181329;102;167;269;0,19897;0,19897;0;0;
18;Nordland;;;;;NKP;Norges Kommunistiske Parti;0,04364;181329;21;38;59;0,00013;-0,10038;0;0;
18;Nordland;;;;;PIR;Piratpartiet;0,15533;181329;63;147;210;-0,18304;-0,22055;0;0;
18;Nordland;;;;;BLANKE;Blanke;0,72784;181329;275;709;984;0,22366;-0,97689;0;0;
19;Troms Romsa;;;;;A;Arbeiderpartiet;24,02767;121509;7725;14157;21882;-7,05424;-8,79363;2;0;
19;Troms Romsa;;;;;SV;Sosialistisk Venstreparti;10,11639;121509;3224;5989;9213;3,67253;4,13687;1;1;
19;Troms Romsa;;;;;RØDT;Rødt;2,28506;121509;925;1156;2081;0,46337;-3,86829;0;0;
19;Troms Romsa;;;;;SP;Senterpartiet;14,97749;121509;4123;9517;13640;8,59253;5,04924;1;0;
19;Troms Romsa;;;;;KRF;Kristelig Folkeparti;2,64412;121509;760;1648;2408;-1,50112;-1,38779;0;0;
19;Troms Romsa;;;;;MDG;Miljøpartiet De Grønne;2,84177;121509;1144;1444;2588;0,36075;-1,24808;0;0;
19;Troms Romsa;;;;;V;Venstre;2,9362;121509;844;1830;2674;-1,24075;-1,89199;0;0;
19;Troms Romsa;;;;;H;Høyre;20,54354;121509;6371;12338;18709;-1,73243;3,26456;1;0;
19;Troms Romsa;;;;;FRP;Fremskrittspartiet;18,23213;121509;5649;10955;16604;-1,38382;5,26138;1;0;
19;Troms Romsa;;;;;ALLI;Alliansen;0,12628;121509;38;77;115;0,12628;0,12628;0;0;
19;Troms Romsa;;;;;DEMN;Demokratene i Norge;0,13067;121509;49;70;119;0,08875;0,13067;0;0;
19;Troms Romsa;;;;;HELSE;Helsepartiet;0,31734;121509;120;169;289;0,31734;0,31734;0;0;
19;Troms Romsa;;;;;KRISTNE;Partiet De Kristne;0,17569;121509;54;106;160;-0,1891;-0,08132;0;0;
19;Troms Romsa;;;;;KYST;Kystpartiet;0,18996;121509;52;121;173;-0,35042;-1,28078;0;0;
19;Troms Romsa;;;;;LIBS;Liberalistene;0,32942;121509;103;197;300;0,32942;0,32942;0;0;
19;Troms Romsa;;;;;NKP;Norges Kommunistiske Parti;0,06149;121509;24;32;56;-0,02687;-0,12867;0;0;
19;Troms Romsa;;;;;BLANKE;Blanke;0,7906;121509;214;506;720;0,23549;-1,02628;0;0;
19;Troms Romsa;;;;;NORDT;Nordting;0,06479;121509;18;41;59;0,06479;0,06479;0;0;
20;Finnmark Finnmárku;;;;;A;Arbeiderpartiet;31,97204;54097;4907;7533;12440;-7,86704;-13,96338;2;0;
20;Finnmark Finnmárku;;;;;SV;Sosialistisk Venstreparti;8,83343;54097;1320;2117;3437;3,65008;2,31887;0;0;
20;Finnmark Finnmárku;;;;;RØDT;Rødt;1,5472;54097;307;295;602;0,61515;0,51702;0;0;
20;Finnmark Finnmárku;;;;;SP;Senterpartiet;14,88088;54097;2397;3393;5790;11,15534;8,91442;1;0;
20;Finnmark Finnmárku;;;;;KRF;Kristelig Folkeparti;2,07664;54097;337;471;808;-0,88945;-0,58796;0;0;
20;Finnmark Finnmárku;;;;;MDG;Miljøpartiet De Grønne;2,1486;54097;430;406;836;-0,09256;-1,44382;0;0;
20;Finnmark Finnmárku;;;;;V;Venstre;4,22524;54097;741;903;1644;0,61654;-2,40818;0;0;
20;Finnmark Finnmárku;;;;;H;Høyre;14,39256;54097;2214;3386;5600;-6,93568;0,28043;1;1;
20;Finnmark Finnmárku;;;;;FRP;Fremskrittspartiet;17,97528;54097;3191;3803;6994;1,94192;7,89141;1;0;
20;Finnmark Finnmárku;;;;;ALLI;Alliansen;0,20304;54097;43;36;79;0,20304;0,20304;0;0;
20;Finnmark Finnmárku;;;;;DEMN;Demokratene i Norge;0,18248;54097;29;42;71;0,1214;0,18248;0;0;
20;Finnmark Finnmárku;;;;;HELSE;Helsepartiet;0,35724;54097;67;72;139;0,35724;0,35724;0;0;
20;Finnmark Finnmárku;;;;;KRISTNE;Partiet De Kristne;0,36238;54097;65;76;141;-0,52718;-0,28148;0;0;
20;Finnmark Finnmárku;;;;;KYST;Kystpartiet;0,42664;54097;79;87;166;-1,03384;-2,39645;0;0;
20;Finnmark Finnmárku;;;;;LIBS;Liberalistene;0,22103;54097;41;45;86;0,22103;0,22103;0;0;
20;Finnmark Finnmárku;;;;;PIR;Piratpartiet;0,19533;54097;30;46;76;-0,18705;0,19533;0;0;
20;Finnmark Finnmárku;;;;;BLANKE;Blanke;0,96893;54097;135;242;377;0,19886;-1,07822;0;0;
