# Statistical Analysis of Polling Results (SAPoR)
# Copyright (C) 2020 Filip van Laenen <f.a.vanlaenen@ieee.org>
#
# This file is part of SAPoR.
#
# SAPoR is free software: you can redistribute it and/or modify it under the
# terms of the GNU General Public License as published by the Free Software
# Foundation, either version 3 of the License, or (at your option) any later
# version.
#
# SAPoR is distributed in the hope that it will be useful, but WITHOUT ANY
# WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR
# A PARTICULAR PURPOSE.  See the GNU General Public License for more details.
#
# You can find a copy of the GNU General Public License in /doc/gpl.txt
#

# Source: Web page with the official results of the elections of 25 May 2014,
#         downloaded on 3 November 2016,
# URL: http://verkiezingen2014.belgium.be/nl/cha/results/results_tab_CKR00000.html

# Replaced FDF with DéFI
# Replaced PTB-GO! with PTB

Brabant wallon | MR                | 97,741
Brabant wallon | PS                | 51,359
Brabant wallon | Ecolo             | 27,356
Brabant wallon | cdH               | 26,335
Brabant wallon | DéFI              | 11,198
Brabant wallon | Parti Populaire   |  9,544
Brabant wallon | PTB               |  6,449
Brabant wallon | Debout les Belges |  3,342
Brabant wallon | La Droite         |  2,337
Brabant wallon | R.W.F.            |  1,102
Brabant wallon | B.U.B.            |    961
Brabant wallon | NATION            |    908
Brabant wallon | NWA               |    442
Brabant wallon | MOVE              |    400
Brabant wallon | VLC               |    208
Brabant wallon | MG                |    187

Hainaut | PS                 | 303,085
Hainaut | MR                 | 153,301
Hainaut | cdH                |  76,812
Hainaut | Ecolo              |  43,488
Hainaut | PTB                |  38,194
Hainaut | Parti Populaire    |  32,158
Hainaut | Debout les Belges  |  24,634
Hainaut | Faire place Nette  |  15,467
Hainaut | DéFI               |  14,382
Hainaut | La Droite          |   6,804
Hainaut | PIRATE             |   5,907
Hainaut | Wallonie d’Abord   |   4,926
Hainaut | NATION             |   3,767
Hainaut | Lutte Ouvrière     |   3,539
Hainaut | P+                 |   2,254
Hainaut | R.W.F.             |   2,058
Hainaut | NWA                |   1,673
Hainaut | MG                 |   1,662
Hainaut | FW                 |   1,633
Hainaut | RassemblementWalon |   1,598
Hainaut | B.U.B.             |     688
Hainaut | MGJOD              |     460

Liège | PS                 | 187,897
Liège | MR                 | 158,046
Liège | cdH                |  81,759
Liège | Ecolo              |  56,890
Liège | PTB                |  50,603
Liège | Parti Populaire    |  32,229
Liège | DéFI               |  13,915
Liège | Debout les Belges  |   9,381
Liège | La Droite          |   8,714
Liège | Wallonie d’Abord   |   6,295
Liège | ISLAM              |   4,332
Liège | PIRATE             |   3,938
Liège | PP PARTIPENSIONNES |   3,178
Liège | NATION             |   2,342
Liège | VLC                |   1,820
Liège | R.W.F.             |   1,622
Liège | B.U.B.             |   1,198
Liège | MG                 |   1,024
Liège | FW                 |     752
Liège | CIM                |     430

Luxembourg | cdH               | 56,702
Luxembourg | MR                | 41,346
Luxembourg | PS                | 37,371
Luxembourg | Ecolo             | 13,471
Luxembourg | Parti Populaire   |  6,980
Luxembourg | PTB               |  4,003
Luxembourg | Debout les Belges |  2,958
Luxembourg | DéFI              |  2,811
Luxembourg | La Droite         |  2,012
Luxembourg | B.U.B.            |    752
Luxembourg | MG                |    666
Luxembourg | R.W.F.            |    645

Namur | MR                 | 84,788
Namur | PS                 | 83,361
Namur | cdH                | 48,135
Namur | Ecolo              | 29,186
Namur | PTB                | 14,559
Namur | Parti Populaire    | 13,029
Namur | DéFI               |  8,367
Namur | Debout les Belges  |  6,616
Namur | La Droite          |  4,003
Namur | R.W.F.             |  1,967
Namur | NATION             |  1,576
Namur | Vox Populi Belgica |  1,280
Namur | B.U.B.             |    857
Namur | FW                 |    695
Namur | NWA                |    670
Namur | MG                 |    423
