Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Bedford;Mohammad Yasin;9;Bedfordshire;71829;21923;22712;2837;0;1008;0;0;0
Bedfordshire Mid;Nadine Dorries;9;Bedfordshire;83800;38936;17953;3798;0;1794;0;0;667
Bedfordshire North East;Alistair Burt;9;Bedfordshire;86988;39139;18277;3693;1896;1215;0;0;0
Bedfordshire South West;Andrew Selous;9;Bedfordshire;79670;32961;18793;2630;0;950;0;0;301
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;87227;7581;31161;18189;838;639;0;0;113
Berwick-upon-Tweed;Anne-Marie Trevelyan;3;Northumberland;58774;22145;10364;8916;0;787;0;0;0
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;86071;7576;42969;2982;894;1516;0;3888;0
Beverley and Holderness;Graham Stuart;5;Humber area;80657;32499;18457;2808;0;756;0;1158;0
Bexhill and Battle;Huw Merriman;12;East Sussex;78512;36854;14689;4485;2006;1438;0;0;0
Bexleyheath and Crayford;David Evennett;11;Bexley;65315;25113;16040;1201;1944;601;0;0;290
Birkenhead;Frank Field;4;Merseyside;64484;8044;33558;1118;0;943;0;0;0
Birmingham Edgbaston;Preet Gill;7;Birmingham;68091;17207;24124;1564;0;562;0;0;155
Birmingham Erdington;Jack Dromey;7;Birmingham;65067;14286;21571;750;0;610;0;0;0
Birmingham Hall Green;Roger Godsiff;7;Birmingham;78271;8199;42143;3137;0;831;0;0;0
Birmingham Hodge Hill;Liam Byrne;7;Birmingham;75698;6580;37606;805;1016;387;0;0;0
Birmingham Ladywood;Shabana Mahmood;7;Birmingham;70023;5452;34166;1156;0;533;0;0;0
Birmingham Northfield;Richard Burden;7;Birmingham;72322;18929;23596;959;0;864;0;0;0
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;70106;11726;30109;1080;0;591;0;592;99
Birmingham Selly Oak;Steve McCabe;7;Birmingham;74370;15629;30836;1644;0;876;0;0;0
Birmingham Yardley;Jess Phillips;7;Birmingham;72581;8824;25398;7984;1916;280;0;0;100
Bishop Auckland;Helen Goodman;3;Durham;67661;20306;20808;1176;0;0;0;0;991
Blackburn;Kate Hollern;4;Lancashire;70657;12780;33148;709;0;0;0;875;0
Blackley and Broughton;Graham Stringer;4;Central Manchester;71648;8657;28258;737;1825;462;0;0;174
Blackpool North and Cleveleys;Paul Maynard;4;Lancashire;63967;20255;18232;747;1392;381;0;0;0
Blackpool South;Gordon Marsden;4;Lancashire;58450;15058;17581;634;1339;341;0;0;0
Blaydon;Liz Twist;3;Newcastle area;68459;13502;26979;4366;2459;583;0;0;195
Blyth Valley;Ronnie Campbell;3;Northumberland;63371;15855;23770;1947;0;918;0;0;0
Bognor Regis and Littlehampton;Nick Gibb;12;West Sussex;75827;30276;12782;3352;1861;993;0;2088;0
Bolsover;Dennis Skinner;8;Derbyshire;73429;18865;24153;1372;2129;0;0;0;0
Bolton North East;David Crausby;4;Western Manchester;67233;19073;22870;1316;1567;357;0;0;0
Bolton South East;Yasmin Qureshi;4;Western Manchester;68886;12550;25676;781;2779;537;0;0;0
Bolton West;Chris Green;4;Western Manchester;72797;24459;23523;1485;1587;0;0;0;0
Bootle;Peter Dowd;4;Merseyside;72872;6059;42259;837;0;709;0;0;424
Boston and Skegness;Matt Warman;8;Lincolnshire;68391;27271;10699;771;3308;547;0;0;283
Bosworth;David Tredinnick;8;Leicestershire;80633;31864;13513;9744;0;1047;0;0;0
Bournemouth East;Tobias Ellwood;10;Dorset;74591;25221;17284;3168;1405;1236;0;0;304
Bournemouth West;Conor Burns;10;Dorset;73195;23812;16101;2929;0;1247;0;0;418
Bracknell;Phillip Lee;12;Berkshire;79199;32882;16866;4186;1521;0;0;0;437
Bradford East;Imran Hussain;5;West Yorkshire;70389;9291;29831;843;1372;289;0;3576;420
Bradford South;Judith Cummins;5;West Yorkshire;67752;15664;22364;516;1758;370;0;377;0
Bradford West;Naz Shah;5;West Yorkshire;67568;7542;29444;712;885;481;0;6345;119
Braintree;James Cleverly;9;Essex;75316;32873;14451;2251;1835;916;0;0;0
Brent Central;Dawn Butler;11;Brent;80845;10211;38208;2519;556;802;0;0;0
Brent North;Barry Gardiner;11;Brent;82556;18435;35496;1614;0;660;0;0;239
Brentford and Isleworth;Ruth Cadbury;11;Hounslow;85151;23182;35364;3083;0;0;0;0;0
Brentwood and Ongar;Alex Burghart;9;Essex;74911;34811;10809;4426;1845;915;0;0;104
Bridgwater and West Somerset;Ian Liddell-Grainger;10;Somerset;89294;32111;16663;6332;2102;1059;0;0;0
Brigg and Goole;Andrew Percy;5;Humber area;66069;27219;14856;836;1596;550;0;0;0
Brighton Kemptown;Lloyd Russell-Moyle;12;East Sussex;67893;18835;28703;1457;0;0;0;0;212
Brighton Pavilion;Caroline Lucas;12;East Sussex;75486;11082;15450;0;630;30139;0;0;376
Bristol East;Kerry McCarthy;10;Bristol area;72414;17453;30847;1389;0;1110;0;0;0
Bristol North West;Darren Jones;10;Bristol area;75431;22639;27400;2814;0;1243;0;0;0
Bristol South;Karin Smyth;10;Bristol area;83009;16679;32666;1821;1672;1428;0;0;116
Bristol West;Thangam Debbonaire;10;Bristol area;92986;9877;47213;5201;0;9216;0;0;101
Broadland;Keith Simpson;9;Norfolk;77334;32406;16590;4449;1594;932;0;0;0
Bromley and Chislehurst;Bob Neill;11;Bromley;65113;25175;15585;3369;1383;1150;0;0;0
Bromsgrove;Sajid Javid;7;Hereford and Worcestershire;73571;33493;16920;2488;0;1139;0;0;0
Broxbourne;Charles Walker;9;Hertfordshire;73502;29515;13723;1481;1918;848;0;0;0
Broxtowe;Anna Soubry;8;Nottinghamshire;74017;25983;25120;2247;1477;681;0;0;0
Buckingham;John Bercow;12;Buckinghamshire;79616;34299;0;0;4168;8574;0;5638;0
Burnley;Julie Cooper;4;Lancashire;64714;12479;18832;6046;2472;461;0;0;0
Burton;Andrew Griffiths;7;Staffordshire;73954;28936;18889;1262;0;824;0;0;0
Bury North;James Frith;4;Western Manchester;67587;21308;25683;912;0;0;0;0;0
Bury South;Ivan Lewis;4;Western Manchester;73723;21200;27165;1065;1316;0;0;0;244
Bury St Edmunds;Jo Churchill;9;Suffolk;87758;36794;18353;3565;0;2596;0;0;852
Calder Valley;Craig Whittaker;5;West Yorkshire;79045;26790;26181;1952;1466;631;0;1034;0
Camberwell and Peckham;Harriet Harman;11;Southwark;85586;7349;44665;3413;0;1627;0;0;358
Camborne and Redruth;George Eustice;10;Cornwall;67462;23001;21424;2979;0;1052;0;0;0
Cambridge;Daniel Zeichner;9;Cambridgeshire;78003;9133;29032;16371;0;1265;0;0;133
Cambridgeshire North East;Stephen Barclay;9;Cambridgeshire;84404;34340;13070;2383;2174;1024;0;0;293
Cambridgeshire North West;Shailesh Vara;9;Cambridgeshire;93223;37529;19521;3168;2518;1255;0;0;0
Cambridgeshire South;Heidi Allen;9;Cambridgeshire;85257;33631;17679;12102;0;1512;0;0;0
Cambridgeshire South East;Lucy Frazer;9;Cambridgeshire;86121;33601;17443;11958;0;0;0;0;0
Cannock Chase;Amanda Milling;7;Staffordshire;74540;26318;17927;794;2018;815;0;0;0
Canterbury;Rosie Duffield;12;Kent;78137;25385;25572;4561;0;1282;0;0;0
Carlisle;John Stevenson;4;Cumbria;62294;21472;18873;1256;1455;0;0;0;0
Carshalton and Wallington;Tom Brake;11;Sutton;70849;19450;9360;20819;0;501;0;434;189
Castle Point;Rebecca Harris;9;Essex;69470;30076;11204;1049;2381;0;0;0;0
Charnwood;Edward Argar;8;Leicestershire;78071;33318;16977;2052;1471;1036;0;0;322
Chatham and Aylesford;Tracey Crouch;12;Kent;70419;25587;15129;1116;2225;573;0;0;260
Cheadle;Mary Robinson;4;Eastern Manchester;72780;24331;10417;19824;0;0;0;0;0
Chelmsford;Vicky Ford;9;Essex;81045;30525;16953;6916;1645;821;0;0;0
Chelsea and Fulham;Greg Hands;11;Hammersmith and Fulham;63728;22179;13991;4627;524;807;0;0;0
Cheltenham;Alex Chalk;10;Gloucestershire;78875;26615;5408;24046;0;943;0;0;0
Chesham and Amersham;Cheryl Gillan;12;Buckinghamshire;71465;33514;11374;7179;1525;1660;0;0;0
Chester, City of;Chris Matheson;4;Cheshire;72859;22847;32023;1551;0;0;0;0;0
Chesterfield;Toby Perkins;8;Derbyshire;72063;16661;26266;2612;1611;777;0;0;0
Chichester;Gillian Keegan;12;West Sussex;84996;36032;13411;6749;1650;1992;0;0;84
Chingford and Woodford Green;Iain Duncan Smith;11;Waltham Forest;66078;23076;20638;2043;0;1204;0;0;0
Chippenham;Michelle Donelan;10;Wiltshire;76432;31267;11236;14637;0;0;0;0;0
Chipping Barnet;Theresa Villiers;11;Barnet;77020;25679;25326;3012;0;1406;0;0;0
Chorley;Lindsay Hoyle;4;Lancashire;76404;23233;30745;1126;0;530;0;0;0
Christchurch;Christopher Chope;10;Dorset;70329;35230;10059;4020;0;1324;0;0;0
Cities of London and Westminster;Mark Field;11;City of Westminster;61533;18005;14857;4270;426;821;0;0;275
Clacton;Giles Watling;9;Essex;69263;27031;11203;887;3357;719;0;449;499
Cleethorpes;Martin Vickers;5;Humber area;73047;27321;16921;1110;2022;470;0;0;0
Colchester;Will Quince;9;Essex;79996;24565;18888;9087;0;828;0;0;177
Colne Valley;Thelma Walker;5;West Yorkshire;84381;27903;28818;2494;0;892;0;0;313
Congleton;Fiona Bruce;4;Cheshire;76694;31830;19211;2902;1289;999;0;0;0
Copeland;Trudy Harrison;4;Cumbria;61751;21062;19367;1404;1094;0;0;0;0
Corby;Tom Pursglove;8;Northamptonshire;82439;29534;26844;1545;1495;579;0;0;0
Cornwall North;Scott Mann;10;Cornwall;68850;25835;6151;18635;0;0;0;0;323
Cornwall South East;Sheryll Murray;10;Cornwall;71896;29493;12050;10336;0;1335;0;0;0
Cotswolds, The;Geoffrey Clifton-Brown;10;Gloucestershire;80446;36201;10702;9748;1197;1747;0;0;107
Coventry North East;Colleen Fletcher;7;Coventry and Solihull;75792;13919;29499;1157;1350;502;0;0;81
Coventry North West;Geoffrey Robinson;7;Coventry and Solihull;75214;18314;26894;1286;1525;666;0;1164;0
Coventry South;James Cunningham;7;Coventry and Solihull;70754;17927;25874;1343;1037;604;0;0;224
Crawley;Henry Smith;12;West Sussex;73424;25426;22969;1878;0;0;0;0;0
Crewe and Nantwich;Laura Smith;4;Cheshire;78895;25880;25928;1334;1885;0;0;0;0
Croydon Central;Sarah Jones;11;Croydon;80045;24221;29873;1083;1040;626;0;0;248
Croydon North;Steve Reed;11;Croydon;87461;11848;44213;1656;753;983;0;0;170
Croydon South;Chris Philp;11;Croydon;83518;33334;21928;3541;1116;1125;0;0;213
Dagenham and Rainham;Jon Cruddas;11;Barking and Dagenham;70620;18306;22958;465;3246;544;0;0;324
Darlington;Jenny Chapman;3;Durham;66341;19401;22681;1031;1180;524;0;0;0
Dartford;Gareth Johnson;12;Kent;78506;31210;18024;1428;2544;807;0;0;211
Daventry;Chris Heaton-Harris;8;Northamptonshire;75335;35464;13730;4015;1497;957;0;0;0
Denton and Reddish;Andrew Gwynne;4;Eastern Manchester;65751;11084;25161;853;1798;486;0;0;217
Derby North;Chris Williamson;8;Derbyshire;69919;21607;23622;2262;1181;0;0;0;0
Derby South;Margaret Beckett;8;Derbyshire;69918;15182;26430;1229;2011;454;0;0;0
Derbyshire Dales;Patrick McLoughlin;8;Derbyshire;64418;29744;15417;3126;0;1002;0;0;282
Derbyshire Mid;Pauline Latham;8;Derbyshire;67466;29513;17897;1793;0;1168;0;0;0
Derbyshire North East;Lee Rowley;8;Derbyshire;72097;24784;21923;1390;1565;719;0;0;0
Derbyshire South;Heather Wheeler;8;Derbyshire;76341;30907;18937;1870;0;917;0;0;0
Devizes;Claire Perry;10;Wiltshire;72184;31744;10608;4706;1706;1606;0;0;223
Devon Central;Mel Stride;10;Devon;74370;31278;15598;6770;1326;1531;0;871;470
Devon East;Hugo Swire;10;Devon;82382;29306;6857;1468;1203;0;0;21270;278
Devon North;Peter Heaton-Jones;10;Devon;75784;25517;7063;21185;1187;753;0;0;0
Devon South West;Gary Streeter;10;Devon;71262;31634;15818;2732;1540;1133;0;0;0
Devon West and Torridge;Geoffrey Cox;10;Devon;80527;33612;12926;10526;0;1622;0;0;794
Dewsbury;Paula Sherriff;5;West Yorkshire;81338;25493;28814;1214;0;1024;0;0;0
Don Valley;Caroline Flint;5;South Yorkshire;73988;19182;24351;856;0;0;0;1599;0
Doncaster Central;Rosie Winterton;5;South Yorkshire;71716;14784;24915;973;0;0;0;1346;1006
Doncaster North;Ed Miliband;5;South Yorkshire;72372;11687;25711;706;2738;0;0;741;729
Dorset Mid and Poole North;Michael Tomlinson;10;Dorset;65054;28585;6423;13246;0;0;0;0;0
Dorset North;Simon Hoare;10;Dorset;76385;36169;10392;7556;0;1607;0;0;0
Dorset South;Richard Drax;10;Dorset;72323;29135;17440;3053;0;2278;0;0;0
Dorset West;Oliver Letwin;10;Dorset;79043;33081;10896;13990;0;1631;0;0;0
Dover;Charlie Elphicke;12;Kent;74564;27211;20774;1336;1722;923;0;0;0
Dudley North;Ian Austin;7;Black Country;62043;18068;18090;368;2144;240;0;0;0
Dudley South;Mike Wood;7;Black Country;61323;21588;13858;625;1791;382;0;0;0
Dulwich and West Norwood;Helen Hayes;11;Lambeth;77947;10940;39096;4475;0;1408;0;0;224
Durham North;Kevan Jones;3;Durham;66970;12978;25917;1981;2408;0;0;0;0
Durham North West;Laura Pidcock;3;Durham;71982;16516;25308;3398;2150;530;0;0;0
Durham, City of;Roberta Blackman-Woods;3;Durham;71132;14408;26772;4787;1116;797;0;0;444
Ealing Central and Acton;Rupa Huq;11;Ealing;74200;19230;33037;3075;0;0;0;0;0
Ealing North;Steve Pound;11;Ealing;74764;14942;34635;1275;921;743;0;0;0
Ealing Southall;Virendra Sharma;11;Ealing;65188;9630;31720;1892;504;1037;0;0;362
Easington;Grahame Morris;3;Durham;62385;8260;23152;460;1727;410;0;2355;0
East Ham;Stephen Timms;11;Newham;83827;7241;47124;656;697;474;0;0;441
Eastbourne;Stephen Lloyd;12;East Sussex;78754;25315;4671;26924;0;510;0;0;0
Eastleigh;Mims Davies;12;Hampshire;81213;28889;11454;14710;1477;750;0;0;0
Eddisbury;Antoinette Sandbach;4;Cheshire;70272;29192;17250;2804;1109;785;0;0;179
Edmonton;Kate Osamor;11;Enfield;65705;10106;31221;858;860;633;0;0;0
Ellesmere Port and Neston;Justin Madders;4;Cheshire;68666;18747;30137;892;821;342;0;0;0
Elmet and Rothwell;Alec Shelbrooke;5;West Yorkshire;80291;32352;22547;2606;0;995;0;1042;0
Eltham;Clive Efford;11;Greenwich;64474;18832;25128;1457;0;0;0;0;738
Enfield North;Joan Ryan;11;Enfield;68454;17930;28177;1036;848;574;0;0;0
Enfield Southgate;Bambos Charalambous;11;Enfield;65137;20634;24989;1925;0;780;0;0;0
Epping Forest;Eleanor Laing;9;Essex;74737;31462;13219;2884;1871;1233;0;0;110
Epsom and Ewell;Chris Grayling;12;Surrey;80029;35313;14838;7401;0;1714;0;0;0
Erewash;Maggie Throup;8;Derbyshire;72991;25939;21405;1243;0;675;0;0;519
Erith and Thamesmead;Teresa Pearce;11;Bexley;69724;15571;25585;750;1728;507;0;0;323
Esher and Walton;Dominic Raab;12;Surrey;80938;35071;11773;10374;1034;1074;0;0;516
Exeter;Ben Bradshaw;10;Devon;77329;18219;34336;1562;0;1027;0;0;279
Fareham;Suella Fernandes;12;Hampshire;79495;35915;14360;3896;1541;1302;0;0;0
Faversham and Kent Mid;Helen Whately;12;Kent;76008;30390;12977;3249;1702;1431;0;0;0
Feltham and Heston;Seema Malhotra;11;Hounslow;81707;16859;32462;1387;1510;809;0;0;0
Filton and Bradley Stoke;Jack Lopresti;10;Bristol area;72569;25331;21149;3052;0;1162;0;0;0
Finchley and Golders Green;Mike Freer;11;Barnet;73138;24599;22942;3463;462;919;0;0;0
Folkestone and Hythe;Damian Collins;12;Kent;84090;32197;16786;4222;2565;2498;0;0;607
Forest of Dean;Mark Harper;10;Gloucestershire;70898;28096;18594;2029;1237;1241;0;0;570
Fylde;Mark Menzies;4;Lancashire;70324;27334;15529;2341;0;1263;0;0;0
Gainsborough;Edward Leigh;8;Lincolnshire;75893;31790;14767;3630;0;1238;0;0;0
Garston and Halewood;Maria Eagle;4;Merseyside;75248;9450;41599;1723;0;750;0;0;0
Gateshead;Ian Mearns;3;Newcastle area;65186;10076;27426;1709;2281;611;0;0;0
Gedling;Vernon Coaker;8;Nottinghamshire;71221;22139;26833;1052;1143;515;0;0;0
Gillingham and Rainham;Rehman Chishti;12;Kent;72093;27091;17661;1372;2097;520;0;0;127
Gloucester;Richard Graham;10;Gloucestershire;82963;27208;21688;2716;1495;754;0;0;210
Gosport;Caroline Dinenage;12;Hampshire;73886;30647;13436;2328;1790;1024;0;0;256
Grantham and Stamford;Nick Boles;8;Lincolnshire;81762;35090;14996;3120;1745;782;0;860;0
Gravesham;Adam Holloway;12;Kent;72948;27237;17890;1210;1742;723;0;0;195
Great Grimsby;Melanie Onn;5;Humber area;61743;14980;17545;954;1648;0;0;0;394
Great Yarmouth;Brandon Lewis;9;Norfolk;71408;23901;15928;987;2767;563;0;0;0
Greenwich and Woolwich;Matthew Pennycook;11;Greenwich;77190;13501;34215;3785;0;1605;0;0;0
Guildford;Anne Milton;12;Surrey;75454;30295;10545;13255;0;1152;0;0;262
Hackney North and Stoke Newington;Diane Abbott;11;Hackney;83955;7126;42265;3817;0;2606;0;0;484
Hackney South and Shoreditch;Meg Hillier;11;Hackney;82004;6043;43974;3168;0;1522;0;0;647
Halesowen and Rowley Regis;James Morris;7;Black Country;68856;23012;17759;859;2126;440;0;0;183
Halifax;Holly Lynch;5;West Yorkshire;71224;20131;25507;1070;1568;0;0;0;0
Haltemprice and Howden;David Davis;5;Humber area;71520;31355;15950;2482;0;711;0;942;0
Halton;Derek Twigg;4;Cheshire;73457;10710;36115;896;1488;0;0;0;309
Hammersmith;Andy Slaughter;11;Hammersmith and Fulham;72803;14724;33375;2802;507;800;0;0;44
Hampshire East;Damian Hinds;12;Hampshire;74148;35263;9411;8403;0;1760;0;0;571
Hampshire North East;Ranil Jayawardena;12;Hampshire;75476;37754;9982;6987;1061;1476;0;0;367
Hampshire North West;Kit Malthouse;12;Hampshire;81430;36471;13792;5708;1467;1334;0;0;0
Hampstead and Kilburn;Tulip Siddiq;11;Camden;82957;18904;34464;4100;0;742;0;0;197
Harborough;Neil O'Brien;8;Leicestershire;78647;30135;17706;7286;1361;1110;0;0;0
Harlow;Robert Halfon;9;Essex;67697;24230;17199;970;1787;660;0;0;0
Harrogate and Knaresborough;Andrew Jones;5;North Yorkshire;77265;31477;11395;13309;0;0;0;0;559
Harrow East;Bob Blackman;11;Harrow;71757;25129;23372;1573;0;771;0;0;0
Harrow West;Gareth Thomas;11;Harrow;69798;17326;30640;1267;470;652;0;0;0
Hartlepool;Mike Hill;3;Teesside;70718;14319;21969;746;4801;0;0;0;0
Harwich and North Essex;Bernard Jenkin;9;Essex;71294;29921;15565;2787;1685;1042;0;0;141
Hastings and Rye;Amber Rudd;12;East Sussex;78298;25668;25322;1885;1479;0;0;0;412
Havant;Alan Mak;12;Hampshire;72464;27676;11720;2801;2011;1122;0;0;984
Hayes and Harlington;John McDonnell;11;Hillingdon;73268;13681;31796;601;1153;571;0;0;0
Hazel Grove;William Wragg;4;Eastern Manchester;62684;20047;9036;14533;0;516;0;0;0
Hemel Hempstead;Mike Penning;9;Hertfordshire;75011;28735;19290;3233;0;1024;0;0;0
Hemsworth;Jon Trickett;5;West Yorkshire;71870;15566;25740;912;2591;0;0;1135;0
Hendon;Matthew Offord;11;Barnet;76329;25078;24006;1985;568;578;0;0;0
Henley;John Howell;12;Oxfordshire;74987;33749;11455;8485;1154;1864;0;0;392
Hereford and South Herefordshire;Jesse Norman;7;Hereford and Worcestershire;71088;27004;11991;3556;1153;1220;0;5560;0
Herefordshire North;Bill Wiggin;7;Hereford and Worcestershire;67751;31097;9495;5874;0;2771;0;0;940
Hertford and Stortford;Mark Prisk;9;Hertfordshire;82429;36184;17149;4845;0;1814;0;0;0
Hertfordshire North East;Oliver Heald;9;Hertfordshire;75967;32587;15752;4276;0;2965;0;0;0
Hertfordshire South West;David Gauke;9;Hertfordshire;80293;35128;15578;7078;1293;1576;0;0;0
Hertsmere;Oliver Dowden;9;Hertfordshire;73554;31928;14977;2794;1564;990;0;0;0
Hexham;Guy Opperman;3;Northumberland;61012;24996;15760;3285;930;1253;0;0;0
Heywood and Middleton;Liz McInnes;4;Eastern Manchester;79901;18961;26578;1087;3239;0;0;0;0
High Peak;Ruth George;8;Derbyshire;73254;24431;26753;2669;0;0;0;0;0
Hitchin and Harpenden;Bim Afolami;9;Hertfordshire;75916;31189;19158;6236;0;1329;0;0;871
Holborn and St Pancras;Keir Starmer;11;Camden;88088;10834;41343;4020;727;1980;0;0;93
Hornchurch and Upminster;Julia Dockerill;11;Havering;80821;33750;16027;1371;3502;1077;0;0;380
Hornsey and Wood Green;Catherine West;11;Haringey;79944;9246;40738;10000;429;1181;0;551;148
Horsham;Jeremy Quin;12;West Sussex;82773;36906;13422;7644;1533;1844;0;0;638
Houghton and Sunderland South;Bridget Phillipson;3;Newcastle area;68123;12324;24665;908;2379;725;0;0;479
Hove;Peter Kyle;12;East Sussex;74236;18185;36942;1311;0;971;0;0;187
Huddersfield;Barry Sheerman;5;West Yorkshire;67033;14465;26470;1155;0;1395;0;0;349
Hull East;Karl Turner;5;Humber area;65959;10959;21355;1258;2573;493;0;0;0
Hull North;Diana Johnson;5;Humber area;64666;9363;23685;1869;1601;644;0;0;0
Hull West and Hessle;Emma Hardy;5;Humber area;60181;10317;18342;2210;1399;332;0;1898;67
Huntingdon;Jonathan Djanogly;9;Cambridgeshire;84320;32915;18440;5090;2180;1095;0;0;0
Hyndburn;Graham Jones;4;Lancashire;73110;18305;24120;824;1953;0;0;0;0
Ilford North;Wes Streeting;11;Redbridge;72997;20950;30589;1034;0;0;0;0;368
Ilford South;Mike Gapes;11;Redbridge;85358;12077;43724;772;477;542;0;0;65
Ipswich;Sandy Martin;9;Suffolk;74799;23393;24224;1187;1372;840;0;0;121
Isle of Wight;Bob Seely;12;Hampshire;110697;38190;17121;2740;1921;12915;0;1592;0
Islington North;Jeremy Corbyn;11;Islington;74831;6871;40086;4946;413;2229;0;0;383
Islington South and Finsbury;Emily Thornberry;11;Islington;69534;9925;30188;5809;929;1198;0;0;0
Jarrow;Stephen Hepburn;3;Newcastle area;64828;10757;28020;1163;2338;745;0;0;0
Keighley;John Grogan;5;West Yorkshire;71429;23817;24066;1226;1291;790;0;0;534
Kenilworth and Southam;Jeremy Wright;7;Warwickshire;66323;31207;13121;4921;929;1133;0;0;0
Kensington;Emma Dent Coad;11;Kensington and Chelsea;60594;16313;16333;4724;0;767;0;0;540
Kettering;Philip Hollobone;8;Northamptonshire;71523;28616;18054;1618;0;1116;0;0;0
Kingston and Surbiton;Ed Davey;11;Kingston Upon Thames;81584;23686;9203;27810;675;536;0;0;268
Kingswood;Chris Skidmore;10;Bristol area;69426;26754;19254;1749;0;984;0;0;0
Knowsley;George Howarth;4;Merseyside;81751;5137;47351;1189;1285;521;0;0;0
Lancashire West;Rosie Cooper;4;Lancashire;73258;20341;32030;1069;0;680;0;0;269
Lancaster and Fleetwood;Cat Smith;4;Lancashire;67171;18681;25342;1170;0;796;0;0;0
Leeds Central;Hilary Benn;5;West Yorkshire;89537;9755;33453;1063;2056;1189;0;0;157
Leeds East;Richard Burgon;5;West Yorkshire;65950;12676;25428;739;1742;434;0;0;422
Leeds North East;Fabian Hamilton;5;West Yorkshire;70112;16445;33436;1952;0;680;0;0;486
Leeds North West;Alex Sobel;5;West Yorkshire;68152;9097;20416;16192;0;582;0;0;0
Leeds West;Rachel Reeves;5;West Yorkshire;67955;11048;27013;905;1815;1023;0;0;425
Leicester East;Keith Vaz;8;Leicestershire;77788;12688;35116;1343;0;1070;0;1753;454
Leicester South;Jon Ashworth;8;Leicestershire;75534;10896;37157;1287;0;1177;0;0;0
Leicester West;Liz Kendall;8;Leicestershire;64834;11763;22823;792;1406;607;0;0;121
Leicestershire North West;Andrew Bridgen;8;Leicestershire;75362;31153;17867;3420;0;1101;0;0;0
Leicestershire South;Alberto Costa;8;Leicestershire;78895;34795;16164;2403;2235;1092;0;0;0
Leigh;Joanne Platt;4;Western Manchester;76211;16793;26347;951;2783;0;0;0;0
Lewes;Maria Caulfield;12;East Sussex;70947;26820;6060;21312;0;0;0;0;0
Lewisham Deptford;Vicky Foxcroft;11;Lewisham;78472;7562;42461;2911;0;1640;0;0;538
Lewisham East;Heidi Alexander;11;Lewisham;68126;10859;32072;2086;798;803;0;0;583
Lewisham West and Penge;Ellie Reeves;11;Lewisham;72902;12249;35411;3317;700;1144;0;0;375
Leyton and Wanstead;John Cryer;11;Waltham Forest;65285;9627;32234;2961;0;1351;0;0;0
Lichfield;Michael Fabricant;7;Staffordshire;74430;34018;15437;2653;0;1416;0;0;0
